Word,Probability,Data
k e t,1.45605083503e-07,59
t e n,1.06513139339e-06,64
h e t,5.37492070095e-07,41
r i t,6.65568557289e-09,12
w e f,1.51395137703e-08,4
j e N,1.21080542473e-07,80
z i s,1.61154982102e-08,4
w e t,1.95312498435e-09,41
s i k,1.49679000895e-07,41
k i t,1.09358011003e-07,35
j i b,7.9482152346e-09,56
w i t,2.51612889682e-08,68
l e n,8.68481172995e-09,77
w i n,1.71164844461e-08,43
t e t,3.05370420269e-07,69
N i p,4.33567616404e-07,57
r e w,1.95530541467e-09,11
j e f,2.39565475333e-08,74
l i N,1.14665410949e-07,7
g i n,1.3001128313e-06,45
z i d,1.14954971928e-07,32
k i g,1.98806544296e-07,5
z i r,1.73846182678e-07,83
n i t,2.33490164232e-07,28
v e w,1.95312498431e-09,80
r i h,1.9531249843e-09,90
n i j,1.95312498429e-09,95
g e l,2.21891916714e-08,49
p i z,5.09618045454e-08,36
t i h,1.44083787806e-07,75
l e m,3.25976131398e-08,60
t e k,2.44642117349e-07,4
m i r,2.08210530806e-09,7
s e t,1.6129052715e-07,54
b e z,5.54013887119e-08,48
t i m,6.62773276639e-07,57
j e z,1.95312498435e-09,43
N e b,2.70434108986e-07,20
g e N,5.64316159041e-07,15
N e p,3.80092737918e-07,35
l i j,1.95312498434e-09,47
f e k,1.060777136e-07,20
d i n,9.24158316305e-07,90
n i w,1.95312498431e-09,77
v e v,1.95312498435e-09,39
p i b,2.63158244057e-07,76
t e N,6.83416281142e-07,53
p e w,2.45593572063e-09,5
l i v,1.95312498436e-09,24
k e f,4.49007248325e-08,19
s e g,1.69065877021e-07,18
h e f,6.72345329974e-09,25
r e N,1.11646873779e-07,12
k e t,2.63720314271e-07,96
j i g,1.15152806958e-08,15
t i z,3.8246801815e-08,55
w e b,6.57838829131e-09,9
v i s,1.3588589356e-08,32
t i l,1.81526120629e-08,70
j i r,1.95312498435e-09,42
k i p,6.7916738785e-08,28
h i k,2.69038802616e-06,5
v e N,6.9307395601e-07,79
m e l,1.26045435256e-08,2
p e d,8.38877087048e-08,39
d e d,7.30895577858e-08,4
l e j,1.9531249843e-09,88
r i h,1.95312498435e-09,32
N i t,5.37698185699e-07,44
l e t,7.06157189622e-09,27
k e g,3.36983223452e-07,76
N i j,1.95333809503e-09,15
b e m,4.66798183769e-07,33
g i b,1.26159778649e-07,26
t i h,1.28024293936e-07,53
b i w,1.95312498434e-09,46
g e d,3.84177941855e-07,67
d e h,3.20490969105e-08,46
j i v,1.95312498429e-09,97
v i m,4.28298253022e-07,74
v e t,2.65477874271e-07,89
b i g,4.57575837722e-07,77
n i n,6.96393838218e-07,66
p i b,2.1376495611e-07,62
p i v,2.27257989238e-08,43
m i d,3.85716011268e-07,59
l i m,2.05396445642e-08,9
t e w,1.95325754368e-09,17
h i k,3.64118130612e-06,84
l e d,2.31764257271e-08,86
d e g,8.8108907313e-08,8
n e d,3.77152350439e-07,68
s i b,8.57202559751e-08,8
l e b,8.04829354119e-09,59
n e r,1.42780568364e-07,55
s i p,1.3335067632e-07,37
v e d,8.68135613892e-08,11
m e k,6.85025486123e-07,94
v e r,2.09917895109e-08,42
r e n,8.83504617537e-09,81
f i h,1.95582480947e-08,57
h e h,5.73349196645e-08,98
l i z,1.95312498436e-09,23
t e d,3.62418786561e-07,83
s e k,1.29415269955e-07,5
h e z,3.27460132128e-08,4
w i z,1.95312498431e-09,77
z i m,1.16131469481e-07,17
w e n,2.73981543307e-08,30
v i w,1.95312499063e-09,29
n e g,5.7320121378e-07,21
s i t,4.8100310765e-07,94
b i m,3.36109808693e-07,20
m e h,2.04449524077e-07,15
j i v,1.95312498435e-09,43
f i p,2.96699161346e-07,81
l e f,1.95553050049e-08,87
p i n,1.02073809318e-06,91
l e p,1.55981724373e-08,6
g i p,2.01067653248e-07,38
j e m,1.95312498432e-09,73
s e d,1.74569703463e-07,68
N i n,1.24175747747e-06,18
g i f,1.19072734537e-07,7
j e s,6.35404916363e-09,46
b i s,9.31924504478e-08,51
n i N,1.48760880985e-06,55
h i d,1.07314246073e-06,50
r i w,1.95312498429e-09,93
f e N,7.72697078415e-07,62
f i m,5.31784820779e-07,95
d i h,8.01502471263e-08,70
d e N,8.80273522326e-07,68
p i j,1.95312498433e-09,59
f i s,2.73544158668e-08,24
t e s,9.81158688971e-08,34
b e b,1.3691686605e-07,22
t i s,5.76872814556e-08,26
j e l,1.95312498412e-09,2
f e w,1.95312498435e-09,44
g i g,4.50557410787e-07,80
h i b,1.39866294804e-06,91
N e z,1.9280212787e-07,18
n e N,1.18651535515e-06,2
d i w,1.95312498432e-09,74
h i N,2.25440233284e-06,5
p e m,2.94445750067e-07,18
r e r,1.42776940473e-07,68
k e h,4.89096456502e-08,32
f i l,8.41091213816e-09,44
r i z,1.95312498442e-09,10
w i n,1.93419405609e-08,84
t i r,1.78565314326e-07,49
g e k,7.8808711379e-07,16
v i k,1.10921471528e-07,10
k i j,1.95312498435e-09,41
p i w,1.95312498429e-09,92
p e l,4.33034742906e-08,98
h e s,3.70629847663e-08,42
m e d,3.25956212292e-07,36
f i t,2.69485930514e-07,68
r e m,1.82633025057e-08,5
b e z,6.69613132667e-08,70
b e g,3.71321585287e-07,78
g i t,3.01596106221e-07,43
j i p,7.9152220632e-09,55
j e w,1.95312498434e-09,51
r i j,1.95312498433e-09,62
z i h,2.39589959621e-08,73
n i r,1.67025490808e-07,2
r i k,7.47192499276e-09,41
g e n,1.80686706342e-06,88
b e f,2.67875514595e-08,88
w e k,2.32383987663e-08,47
z i r,1.69560660956e-07,5
t e m,2.57584308674e-07,6
f i w,3.89873127485e-09,5
b e p,7.82959837651e-08,26
w e g,3.73583222509e-08,70
b e f,1.76671083095e-08,25
t i w,1.95312598425e-09,23
w i w,1.95312498433e-09,59
f e s,1.36904436901e-08,33
n i t,3.71739899246e-07,74
s i z,2.25501818123e-08,18
h e g,2.33602891686e-06,82
s i f,6.77901516102e-09,61
v e l,1.78081051601e-08,21
f i w,1.95952415678e-09,12
d e m,4.47075473647e-07,57
w i N,1.63485525462e-07,39
l i b,7.7210389968e-09,49
b i l,1.15947307795e-08,90
t e l,2.68958860991e-08,73
h e s,4.93130619269e-08,84
s e s,1.30487825038e-08,43
h e r,1.70618845894e-08,62
r i v,1.95312498436e-09,29
w i b,1.34139978903e-08,65
j i k,1.32995365723e-08,46
r i d,1.44845038884e-08,64
w e v,1.95312498434e-09,48
k i v,5.2695733667e-08,62
v i n,6.7247663672e-07,84
h i m,1.53305266952e-06,7
p i k,3.43803153259e-07,59
t e j,1.95312498433e-09,66
m i s,2.12599110756e-07,75
N i r,1.95312498434e-09,50
k e m,9.62534752702e-07,78
d e z,4.7823154748e-08,91
g e l,2.58325831605e-08,68
b e k,7.89822430014e-07,59
g i h,1.86175820179e-07,60
w e p,3.34834732636e-08,95
s e l,1.22907123109e-08,98
l i p,2.23722944882e-08,79
f i k,2.2977483717e-07,47
g e z,1.3574564542e-07,73
w e N,1.91920949172e-07,88
n e n,1.12590172523e-06,88
v i b,1.03116300698e-07,42
z i t,2.95424391252e-07,84
z e r,1.2516608841e-07,94
n i v,4.53344761124e-08,13
b e n,1.01656857949e-06,96
n i d,3.3441679205e-07,72
d i m,3.40916447556e-07,31
l i g,1.6943847091e-08,23
m i p,2.03741918162e-07,2
b e t,8.58729709106e-08,9
r e j,1.95312498434e-09,52
v i r,3.2965886964e-08,98
N i N,2.14745655321e-06,80
j e d,2.87960972667e-08,36
d i k,4.78765528294e-07,10
m e w,1.95312498433e-09,65
h i j,1.95312498431e-09,77
s i v,1.95561912512e-09,39
d i h,9.00398236318e-08,90
n e v,7.80527789946e-08,44
v e h,1.5157286227e-08,32
N e p,6.03642234762e-07,76
s i n,6.01554197832e-07,76
s i t,2.28211811214e-07,40
r e z,1.95312498433e-09,58
h e d,9.48464745598e-07,2
b i h,8.44206472885e-08,73
g e w,1.95312498434e-09,48
s e w,1.95312498435e-09,38
h e v,2.80355077749e-08,53
r i r,1.82395116597e-07,32
t i j,1.9531249843e-09,91
