Word,Probability,Data
e h h,1.95326564656e-09,54
e N n,1.95312486269e-09,48
e n n,1.95312486271e-09,47
s e e,1.95312486267e-09,85
e s m,1.95312486267e-09,90
e n m,1.95331858027e-09,17
e m m,1.9531317208e-09,21
g e n,0.0280058789189,62
e f m,1.95312486267e-09,86
g e k,0.0273114335826,92
h g e,1.95312486267e-09,68
e h n,1.95312486267e-09,91
k h e,1.953124995e-09,18
e f g,1.95312486267e-09,99
e s m,1.33729386518e-08,23
k g e,1.95312499499e-09,27
k h e,1.95312486267e-09,66
h e k,0.0278916504166,73
s m e,1.95312499436e-09,32
e s k,1.95312486267e-09,92
e e n,2.1225562933e-09,34
e f s,1.95312486267e-09,96
f e n,0.0278460421949,47
k e e,1.95312486955e-09,59
e N m,1.97501025736e-09,29
e k e,1.95312486267e-09,79
e h m,1.95314243577e-09,13
e N k,1.95312505676e-09,35
s m e,1.95312486267e-09,83
s e h,1.95329774045e-09,2
f k e,1.95312486267e-09,64
e s n,1.95312486267e-09,86
g e k,2.41622466808e-07,25
e f f,1.95315493292e-09,3
N e n,1.95312515412e-09,32
h e g,0.0278897279521,82
e m f,1.95312486267e-09,56
e m s,1.9531248691e-09,44
N e h,1.953124995e-09,26
h m e,1.95313904257e-09,2
f e s,9.24081189077e-06,29
f s e,1.95312486457e-09,56
e f h,1.95312499498e-09,28
m e e,1.95417488266e-09,30
n e h,1.95312486273e-09,73
e s m,1.9533277727e-09,50
f N e,1.95312486267e-09,97
g e N,5.03179895598e-07,15
h g e,1.95312486267e-09,95
f e k,1.2016754025e-08,20
e g g,1.95782614246e-09,40
e g s,1.95446805904e-09,49
f s e,1.95312486267e-09,73
e s e,1.63625225244e-07,39
m f e,1.953124995e-09,25
e h f,1.953124995e-09,23
e k s,1.95312500506e-09,37
k e f,1.96009512761e-09,19
e n e,1.95312486267e-09,95
s e g,2.02952910379e-09,18
h e f,1.96454239072e-09,25
m e N,1.17903896018e-08,1
n f e,1.95312499496e-09,29
e g N,1.95312486269e-09,60
e g k,1.95312486267e-09,74
e e N,1.95312486423e-09,64
e n m,1.95312496835e-09,52
m n e,1.96414832652e-09,4
g f e,1.953124995e-09,17
n e k,1.91787249861e-05,0
e m m,1.95312486268e-09,58
N f e,1.95312486267e-09,57
g e m,0.000135606809198,32
e g f,1.95312486267e-09,59
n h e,1.953124995e-09,13
e m g,1.95321118408e-09,2
e m k,1.95312935572e-09,15
e m s,1.95312486267e-09,65
e h s,1.96533542696e-09,9
m m e,1.95312486267e-09,91
n e m,0.00189788485431,35
e h e,1.95312486267e-09,54
s e e,1.95312486289e-09,45
N e e,1.95312486267e-09,50
k e g,0.0267828120575,76
N f e,1.95312486267e-09,89
h e k,0.000797445509482,34
k e k,3.5040566647e-09,7
N e s,1.95312499691e-09,11
e e f,1.95312487991e-09,40
e k k,1.95312486267e-09,91
e f n,1.95312486267e-09,74
k e m,0.0273789118029,61
f e h,1.95312486267e-09,98
e s N,1.97457585446e-09,25
e k m,1.95312500669e-09,17
k h e,1.95312486267e-09,57
N e N,1.95475018163e-09,45
e m m,1.95312486267e-09,92
m e m,1.99504387473e-08,22
h e e,1.95312549643e-09,49
e k g,1.953124995e-09,15
g e h,1.95314622774e-09,23
m m e,1.95312499474e-09,31
e k s,1.95312486267e-09,90
k n e,1.9531249949e-09,30
g g e,1.95312486267e-09,51
k k e,1.953124995e-09,24
e n h,1.95314868236e-09,56
e s h,1.97337329969e-09,22
e g k,1.95312486267e-09,88
s e N,1.95312486267e-09,72
N e k,1.95312486325e-09,55
e g g,1.97928984331e-09,27
h f e,1.953124995e-09,23
m e s,0.0272458676761,84
g e n,0.0280058972995,79
e e m,1.9746766038e-09,37
h e n,0.0281747287781,48
g n e,1.953124995e-09,15
g N e,1.95312499122e-09,34
n e n,0.0271588035015,97
m m e,1.95312486267e-09,99
e e k,2.04418935162e-09,15
e s k,1.95312486267e-09,94
s N e,1.953124995e-09,11
f e m,0.0278676831682,88
s s e,1.953124995e-09,8
s e k,1.95321708255e-09,5
e s m,1.95312486267e-09,77
e k f,1.95312486267e-09,82
s f e,1.953124995e-09,22
e k n,1.9531248714e-09,41
N n e,1.95312500681e-09,8
e m n,1.95312486267e-09,69
n e g,5.58315070639e-07,21
e m e,1.95312486397e-09,43
e f e,1.95312486267e-09,60
N e m,1.95328987189e-09,11
e N N,1.95312486287e-09,47
h e h,1.95312708082e-09,54
g h e,1.95312515339e-09,14
m e h,1.95312727066e-09,15
f n e,1.95312486267e-09,53
e s k,1.95312486267e-09,98
s g e,1.95312486267e-09,64
N s e,1.953124995e-09,25
n k e,1.95312499498e-09,28
m e f,1.95312522599e-09,9
k g e,1.95312486267e-09,97
e m e,1.95312486267e-09,90
e m m,1.95312489904e-09,47
g e f,1.95312486267e-09,98
e h m,1.95312486267e-09,98
h e m,4.76828123988e-08,10
e h N,1.9531254798e-09,43
e n e,1.95312486267e-09,79
f g e,1.953124995e-09,13
e g h,1.95312486267e-09,83
e N s,1.95312486282e-09,61
n e s,1.48107973985e-06,27
e k n,1.95312486267e-09,73
f e N,0.0281745058558,62
h e N,0.0279028269583,82
f e m,0.027197915676,42
m N e,1.9531249949e-09,30
f N e,1.95312486267e-09,99
n h e,1.95312486267e-09,99
N e f,1.95312486267e-09,70
f e N,0.0281738606223,90
n n e,1.95312486267e-09,86
s f e,1.95312486267e-09,89
n e f,1.95318500086e-09,41
h e N,0.0279037866466,61
s n e,1.95312495436e-09,37
f e e,2.09110840544e-09,1
e f N,1.95312486267e-09,88
n e N,1.96208079023e-08,2
N k e,1.95312486267e-09,56
s e s,3.60959247933e-09,31
g N e,1.95312486267e-09,94
e e e,1.95312488795e-09,59
n g e,1.95312486267e-09,79
e n g,1.95312486268e-09,49
s g e,1.953124995e-09,24
e n m,1.95312486267e-09,80
e h n,1.95312499618e-09,9
m s e,1.95335372269e-09,23
f n e,1.95312486267e-09,97
e f m,1.96994116102e-09,37
h g e,1.95312499499e-09,27
e m N,1.95315151041e-09,29
e s s,3.22704572453e-07,16
h h e,1.95314180389e-09,36
e N g,1.95312499562e-09,32
N e e,1.95312486267e-09,98
e f g,1.95390175706e-09,15
e N f,1.95312486397e-09,43
e f s,1.95312486267e-09,68
n e m,0.0280135383122,81
h N e,1.95312487991e-09,40
m e n,0.0277536599002,94
s h e,1.953124995e-09,5
e s k,2.3401519819e-08,9
e g n,1.95312486289e-09,45
s e k,1.9531248635e-09,44
e m m,1.95312486267e-09,75
k h e,1.953124995e-09,14
n n e,1.95312486267e-09,75
f m e,1.95312487991e-09,40
n g e,1.95312486267e-09,98
